45823436,Avenida Getúlio Vargas,- até 399 - lado ímpar,Juca Rosa,3280,5
45823541,Avenida Visual,,Jardim Amendoeira,3280,5
45823543,Rua A,,Jardim Amendoeira,3280,5
45823545,Rua B,,Jardim Amendoeira,3280,5
45823547,Rua C,,Jardim Amendoeira,3280,5
45823549,Rua D,,Jardim Amendoeira,3280,5
45823551,Rua N,,Jardim Amendoeira,3280,5
45823553,Rua E,,Jardim Amendoeira,3280,5
45823555,Rua L,,Jardim Amendoeira,3280,5
45823557,Rua F,,Jardim Amendoeira,3280,5
45823559,Rua M,,Jardim Amendoeira,3280,5
45823561,Rua J,,Jardim Amendoeira,3280,5
45823563,Rua G,,Jardim Amendoeira,3280,5
45823565,Rua I,,Jardim Amendoeira,3280,5
45823567,Rua H,,Jardim Amendoeira,3280,5
45823569,Travessa D,,Jardim Amendoeira,3280,5
45823571,Travessa C,,Jardim Amendoeira,3280,5
45823573,Travessa B,,Jardim Amendoeira,3280,5
45823575,Travessa A,,Jardim Amendoeira,3280,5
45823577,Avenida Paulo de Tarso Alvim,,Jardim Amendoeira,3280,5
45823583,Avenida Getúlio Vargas,- até 398 - lado par,Sapucaeira,3280,5
45823587,Rua Inácio de Loiola,,Sapucaeira,3280,5
45823589,Rua dos Arvoredos,,Sapucaeira,3280,5
45823591,Rua Antônio Alves,,Sapucaeira,3280,5
45823593,Travessa do Recreio,,Sapucaeira,3280,5
45823595,Rua Olímpio Antônio,,Sapucaeira,3280,5
45823597,Avenida Castro Alves,- de 710/711 a 910/911,Sapucaeira,3280,5
45823599,Avenida Duarte da Costa,- de 400/401 a 798/799,Sapucaeira,3280,5
45823605,Rua Afonso Pena II,,Sapucaeira,3280,5
45823607,Rua Gutemberg Amazonas,,Sapucaeira,3280,5
45823609,Travessa André Pereira Baio,,Sapucaeira,3280,5
45823611,Travessa Pedro Rosa,,Sapucaeira,3280,5
45823619,Rua Profeta Jonas,- de 151/152 ao fim,Sapucaeira,3280,5
45823621,Avenida Presidente Dutra,- de 500/501 ao fim,Sapucaeira,3280,5
45823623,Avenida Castelo Branco,- de 1080/1081 ao fim,Sapucaeira,3280,5
45823625,Avenida Castro Alves,- de 912/913 ao fim,Sapucaeira,3280,5
45823627,Avenida Duarte da Costa,- de 800/801 ao fim,Sapucaeira,3280,5
45823631,Rua São Sebastião,,Sapucaeira,3280,5
45823633,Rua São José II,,Sapucaeira,3280,5
45823635,Caminho 13,,Sapucaeira,3280,5
45823637,Rua H,,Sapucaeira,3280,5
45823639,Rua G,,Sapucaeira,3280,5
45823641,Rua F,,Sapucaeira,3280,5
45823643,Rua E,,Sapucaeira,3280,5
45823645,Rua D,,Sapucaeira,3280,5
45823647,Rua C,,Sapucaeira,3280,5
45823649,Rua B,,Sapucaeira,3280,5
45823651,Rua A,,Sapucaeira,3280,5
45823653,Caminho 12,,Sapucaeira,3280,5
45823850,Travessa 1,,Nova Eunápolis,3280,5
45823852,Travessa 2,,Nova Eunápolis,3280,5
45823854,Rua Maranhão,,Nova Eunápolis,3280,5
45823856,Rua Sergipe,,Nova Eunápolis,3280,5
45823858,Rua Goiás,,Nova Eunápolis,3280,5
45823860,Rua Santa Catarina,,Nova Eunápolis,3280,5
45823862,Avenida das Nações,,Nova Eunápolis,3280,5
45823864,Rua Rio de Janeiro,,Nova Eunápolis,3280,5
45823866,Rua Paraná,,Nova Eunápolis,3280,5
45823870,Rua Espírito Santo,,Nova Eunápolis,3280,5
45823872,Rua da Bahia,,Nova Eunápolis,3280,5
45823874,Rua Amazonas,,Nova Eunápolis,3280,5
45823876,Rua do Contorno,,Nova Eunápolis,3280,5
45823878,Rua Ceará,,Nova Eunápolis,3280,5
45823880,Rua Paraíba,,Nova Eunápolis,3280,5
45823882,Rua Acre,,Nova Eunápolis,3280,5
45823884,Rua Pará,,Nova Eunápolis,3280,5
45823886,Rua Tocantins,,Nova Eunápolis,3280,5
45823888,Travessa 3,,Nova Eunápolis,3280,5
45824001,Avenida David Jonas Fadini,,Distrito Industrial,3280,5
45824011,Avenida Presidente Juscelino Kubitschek,,Distrito Industrial,3280,5
45824021,Rua Presidente Dutra,,Distrito Industrial,3280,5
45824031,Rua Presidente Getúlio Vargas,,Distrito Industrial,3280,5
45824042,Rua Presidente Café Filho,,Distrito Industrial,3280,5
45825002,Avenida Alcides Lacerda,,Alecrim,3280,5
45825004,Avenida Ronaldo Santana de Oliveira,,Alecrim,3280,5
45825006,Rua A,(Res Alecrim),Alecrim,3280,5
45825008,Rua B,(Res Alecrim),Alecrim,3280,5
45825010,Rua C,(Res Alecrim),Alecrim,3280,5
45825012,Rua D,(Res Alecrim),Alecrim,3280,5
45825014,Rua E,(Res Alecrim),Alecrim,3280,5
45825016,Rua H,(Res Alecrim),Alecrim,3280,5
45825020,Rua G,(Res Alecrim),Alecrim,3280,5
45825022,Rua F,(Res Alecrim),Alecrim,3280,5
45825024,Rua N,(Res Alecrim),Alecrim,3280,5
45825026,Rua I,(Res Alecrim),Alecrim,3280,5
45825028,Rua M,(Res Alecrim),Alecrim,3280,5
45825030,Rua L,(Res Alecrim),Alecrim,3280,5
45825032,Rua J,(Res Alecrim),Alecrim,3280,5
45825036,Avenida Capixaba,- de 900 ao fim - lado par,Alecrim,3280,5
45825151,Avenida Alcides Lacerda,,Vista Alegre,3280,5
45825221,Rua Itamaraju,,Vista Alegre,3280,5
45825241,Rua Pastor Osvaldo Libertini,,Vista Alegre,3280,5
45825243,Rua Ilhéus,,Vista Alegre,3280,5
45825245,Rua Camacan,,Vista Alegre,3280,5
45825249,Rua Camaçari,,Vista Alegre,3280,5
45825251,Rua Itabuna,,Vista Alegre,3280,5
45825253,Rua Itacaré,,Vista Alegre,3280,5
45825255,Rua Feira de Santana,,Vista Alegre,3280,5
45825257,Rua Itapetinga,,Vista Alegre,3280,5
45825259,Rua Salvador,,Vista Alegre,3280,5
45825261,Rua Prado,,Vista Alegre,3280,5
45825263,Rua Santa Cruz de Cabrália,,Vista Alegre,3280,5
45825265,Rua Vitória da Conquista,,Vista Alegre,3280,5
45826001,Avenida David Jonas Fadini,,Moisés Reis,3280,5
45826003,Travessa Lua Nova,,Moisés Reis,3280,5
45826005,Rua Lua Nova,,Moisés Reis,3280,5
45826007,Rua do Riacho,,Moisés Reis,3280,5
45826009,Rua Vasco da Gama,,Moisés Reis,3280,5
45826011,Rua Águas Claras,,Moisés Reis,3280,5
45826013,Rua Santa Catarina,,Moisés Reis,3280,5
45826015,Rua Marquês de Tamandaré,,Moisés Reis,3280,5
45826017,Rua Hilário Roldi,,Moisés Reis,3280,5
45826019,Rua do Pinheiro,,Moisés Reis,3280,5
45826021,Rua Paraíso,,Moisés Reis,3280,5
45826023,Travessa Marquês de Tamandaré,,Moisés Reis,3280,5
45826025,Avenida Domingos Reis,,Moisés Reis,3280,5
45826027,Rua Pardal,,Moisés Reis,3280,5
45826029,Ladeira do Paturi,,Moisés Reis,3280,5
45826031,Rua Filadélfio Reis,,Moisés Reis,3280,5
45826033,Rua Flamingo,,Moisés Reis,3280,5
45826035,Rua João de Barro,,Moisés Reis,3280,5
45826037,Praça do Trabalhador,,Moisés Reis,3280,5
45826039,Travessa da Codorna,,Moisés Reis,3280,5
45826041,Travessa Tucano,,Moisés Reis,3280,5
45826043,Rua Andorinha,,Moisés Reis,3280,5
45826045,Rua Augusto Gomes,,Moisés Reis,3280,5
45826047,Rua das Graças,,Moisés Reis,3280,5
45826049,Travessa Perdizes,,Moisés Reis,3280,5
45826051,Rua da Integração,,Moisés Reis,3280,5
45826053,1ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826055,2ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826057,3ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826059,Rua da Linha,,Moisés Reis,3280,5
45826061,Rua Nossa Senhora Aparecida,,Moisés Reis,3280,5
45826063,1ª Travessa Periférica,,Moisés Reis,3280,5
45826065,2ª Travessa Periférica,,Moisés Reis,3280,5
45826067,3ª Travessa Periférica,,Moisés Reis,3280,5
45826069,Avenida Periférica,,Moisés Reis,3280,5
45826071,Beco do Beija-flor,,Moisés Reis,3280,5
45826073,Travessa do Curió,,Moisés Reis,3280,5
45826075,2ª Travessa Aparecida,,Moisés Reis,3280,5
45826077,Rua Ayrton Senna,,Moisés Reis,3280,5
45826079,Rua Aparecida,,Moisés Reis,3280,5
45826081,Rua do Lago,,Moisés Reis,3280,5
45826083,Caminho da Fonte,,Moisés Reis,3280,5
45826085,Rua Tailândia,,Moisés Reis,3280,5
45826087,Rua do Sol,,Moisés Reis,3280,5
45826089,Rua do Vento,,Moisés Reis,3280,5
45826091,Rua da Chácara,,Moisés Reis,3280,5
45826093,Rua da Lua,,Moisés Reis,3280,5
45826170,Rua da Fazenda,,Arivaldo Reis,3280,5
45826172,Avenida do Trabalho,,Arivaldo Reis,3280,5
45826174,Rua Gasogênio,- de 220/221 ao fim,Arivaldo Reis,3280,5
45826176,Rua do Dínamo,- de 200/201 ao fim,Arivaldo Reis,3280,5
45826178,Rua do Torno,- de 70/71 ao fim,Arivaldo Reis,3280,5
45826180,Rua da Engrenagem,- de 300/301 ao fim,Arivaldo Reis,3280,5
45826182,Rua do Fole,- de 330/331 ao fim,Arivaldo Reis,3280,5
45826184,Rua Ariane Reis,,Arivaldo Reis,3280,5
45826186,Rua da Alavanca,- de 140/141 ao fim,Arivaldo Reis,3280,5
45826188,Rua Diolinda Reis,,Arivaldo Reis,3280,5
45826190,Rua do Contorno,- de 100/101 ao fim,Arivaldo Reis,3280,5
45826192,Rua do Trilho,,Arivaldo Reis,3280,5
